PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((GP474GT-B12-B15-B23)/(Tx778/Tx151)-B5-06-1-1-B6),2,3,1,1,NEUI,8,25,2_3,3
((GP722)/(Tx779/Tx780)-B6-04-1-1-B22),2,5,1,2,NEUI,8,25,2_5,5
((GP474GT-B12-B15-B23)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),2,7,1,3,NEUI,5,30,2_7,7
DKC67-44 (2021),2,9,1,4,NEUI,15,98,2_9,9
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-37-2-1-1-B12),2,11,1,5,NEUI,7,20,2_11,11
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-B18),2,13,1,6,NEUI,9,86,2_13,13
((Tx779)/(Tx779/Tx780)-B6-04-2-2-B6),2,15,1,7,NEUI,8,25,2_15,15
((GP739GTCBLLBL)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),2,17,1,8,NEUI,10,30,2_17,17
((GP722)/(Tx777/Tx775)-B5-15-1-1-1-B9),2,19,1,9,NEUI,15,40,2_19,19
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-04-1-3-1-B14),2,21,1,10,NEUI,14,96,2_21,21
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-2-2-B6),2,23,1,11,NEUI,5,15,2_23,23
((LH195RR)/(Tx779/Tx780)-B6-04-2-2-B6),2,25,1,12,NEUI,7,13,2_25,25
((GP737)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),2,27,1,13,NEUI,7,25,2_27,27
((Tx779)/(Tx777/Tx775)-B5-15-1-1-B28),2,29,1,14,NEUI,10,75,2_29,29
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-B14),2,31,1,15,NEUI,14,45,2_31,31
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-1-1-B22),2,33,1,16,NEUI,6,35,2_33,33
((Tx777-B50)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),2,35,1,17,NEUI,12,55,2_35,35
((GP737)/((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18),2,37,1,18,NEUI,15,98,2_37,37
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),2,39,1,19,NEUI,10,40,2_39,39
BH900VIP3111 (2021),2,41,1,20,NEUI,15,98,2_41,41
((GP737)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,42,1,21,NEUI,14,30,3_41,41
((GP724GTCBLL)/(Tx778/Tx151)-B5-06-1-1-B6),3,40,1,22,NEUI,12,25,3_39,39
((Tx779)/(Tx777/Tx775)-B5-12-2-2-1-B14),3,38,1,23,NEUI,10,25,3_37,37
((GP737)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),3,36,1,24,NEUI,9,27,3_35,35
((LH195RR)/(Tx778/Tx151)-B5-25-1-2-1-B10),3,34,1,25,NEUI,13,35,3_33,33
((GP724GTCBLL)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,32,1,26,NEUI,14,40,3_31,31
((LH195RR)/(Tx779/Tx780)-B6-04-1-1-B22),3,30,1,27,NEUI,5,20,3_29,29
((GP724GTCBLL)/(Tx777/Tx775)-B5-12-2-2-B18),3,28,1,28,NEUI,15,35,3_27,27
(((Tx777/Tx775)-B5-12-2-1-1-B17)/Tx779),3,26,1,29,NEUI,16,45,3_25,25
((LH195RR)/((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18),3,24,1,30,NEUI,12,92,3_23,23
((GP722)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),3,22,1,31,NEUI,NA,NA,3_21,21
((LH195RR)/{((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12//(CML442-B/CML343-B-B-B-B-B-B)-B-B-1-1-B-B)-B5-selfs B28}-14-1),3,20,1,32,NEUI,15,45,3_19,19
((LH195RR)/(Tx777/Tx775)-B5-37-2-1-1-B12),3,18,1,33,NEUI,7,25,3_17,17
(((Tx777/Tx775)-B5-12-2-2-1-B14)/GP724GTCBLL),3,16,1,34,NEUI,14,35,3_15,15
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-1-B9),3,14,1,35,NEUI,11,25,3_13,13
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-1-1-B22),3,12,1,36,NEUI,9,20,3_11,11
((LH195RR)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),3,10,1,37,NEUI,18,70,3_9,9
((LH195RR)/(Tx778/Tx151)-B5-04-1-3-1-B14),3,8,1,38,NEUI,20,90,3_7,7
(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP474GT-B12-B15-B23),3,6,1,39,NEUI,7,30,3_5,5
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),3,4,1,40,NEUI,9,30,3_3,3
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-1-B9),4,3,1,41,NEUI,10,25,4_3,3
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-B28),4,5,1,42,NEUI,10,30,4_5,5
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-06-1-1-B8),4,7,1,43,NEUI,12,40,4_7,7
((WF18 Red Stalker inbred)/Tx779),4,9,1,44,NEUI,8,50,4_9,9
((GP722)/(Tx777/Tx775)-B5-15-1-1-B28),4,11,1,45,NEUI,15,65,4_11,11
((Tx779)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),4,13,1,46,NEUI,10,40,4_13,13
((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),4,15,1,47,NEUI,4,30,4_15,15
((GP739GTCBLLBL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),4,17,1,48,NEUI,10,50,4_17,17
((GP722)/(Tx777/Tx775)-B5-12-2-1-B23),4,19,1,49,NEUI,15,98,4_19,19
LG64C30 (2021),4,21,1,50,NEUI,NA,NA,4_21,21
((GP739GTCBLLBL)/((CML288/NC300)-B-9-B1-B-B-B-B-B-B-B-B-1-B8-B7-B17/LH82)-1-2-1),4,23,1,51,NEUI,12,92,4_23,23
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),4,25,1,52,NEUI,14,70,4_25,25
((GP739GTCBLLBL)/((CML285/NC300)-B-6-B-B-B-B-B-B-B/(CML 323/NC300)-B-1-1-B-B-B-B-B)-2-2-B-1-1-B20-1-B21-B13),4,27,1,53,NEUI,10,50,4_27,27
((WF18 Red Stalker inbred)/Tx779),4,29,1,54,NEUI,8,40,4_29,29
((GP737)/(Tx777/Tx775)-B5-12-2-1-1-B17),4,31,1,55,NEUI,12,50,4_31,31
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-2-2-B6),4,33,1,56,NEUI,6,35,4_33,33
((LH195RR)/(Tx777/Tx775)-B5-12-2-1-1-B17),4,35,1,57,NEUI,8,80,4_35,35
((GP722)/(Tx777/Tx775)-B5-12-2-2-1-B14),4,37,1,58,NEUI,10,88,4_37,37
((LH195RR)/(Tx777/Tx775)-B5-30-1-1-1-B6),4,39,1,59,NEUI,12,60,4_39,39
(((Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13)/LH195RR),4,41,1,60,NEUI,9,80,4_41,41
((GP724GTCBLL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),5,42,1,61,NEUI,6,40,5_41,41
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,40,1,62,NEUI,6,40,5_39,39
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-1-B9),5,38,1,63,NEUI,11,60,5_37,37
((GP724GTCBLL)/(Tx777/Tx775)-B5-15-1-1-B28),5,36,1,64,NEUI,12,60,5_35,35
((GP737)/(Tx778/Tx151)-B5-06-1-1-B8),5,34,1,65,NEUI,6,50,5_33,33
((GP724GTCBLL)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,32,1,66,NEUI,5,30,5_31,31
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-1-1-B17),5,30,1,67,NEUI,10,75,5_29,29
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-B28),5,28,1,68,NEUI,8,65,5_27,27
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-1-B6),5,26,1,69,NEUI,6,45,5_25,25
((GP722)/(Tx779/Tx780)-B6-04-2-2-B6),5,24,1,70,NEUI,6,50,5_23,23
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-12-2-1-B23),5,22,1,71,NEUI,7,60,5_21,21
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-1-B14),5,20,1,72,NEUI,14,80,5_19,19
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),5,18,1,73,NEUI,10,70,5_17,17
((GP739GTCBLLBL)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),5,16,1,74,NEUI,11,75,5_15,15
((GP737)/(Tx779/Tx780)-B6-04-2-2-B6),5,14,1,75,NEUI,6,15,5_13,13
DKC69-99 (2021),5,12,1,76,NEUI,13,94,5_11,11
((GP722)/(Tx777/Tx775)-B5-12-2-2-B18),5,10,1,77,NEUI,13,94,5_9,9
((LH195RR)/(Tx778/Tx151)-B5-06-1-1-B6),5,8,1,78,NEUI,9,70,5_7,7
((LH195RR)/(Tx778/Tx151)-B5-06-1-1-B8),5,6,1,79,NEUI,9,50,5_5,5
((LH195RR)/((CML285/NC300)-B-6-B-B-B-B-B-B-B/(CML 323/NC300)-B-1-1-B-B-B-B-B)-2-2-B-1-1-B20-1-B21-B13),5,4,1,80,NEUI,6,40,5_3,3
((LH195RR)/(Tx777/Tx775)-B5-12-2-2-1-B14),6,3,1,81,NEUI,8,60,6_3,3
((GP739GTCBLLBL)/(Tx779/Tx780)-B6-04-2-2-B6),6,5,1,82,NEUI,6,45,6_5,5
((Tx779)/(Tx777/Tx775)-B5-12-2-2-B18),6,7,1,83,NEUI,7,55,6_7,7
((GP722)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),6,9,1,84,NEUI,15,80,6_9,9
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-39-1-2-B14),6,11,1,85,NEUI,8,60,6_11,11
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-1-B23),6,13,1,86,NEUI,9,90,6_13,13
((LH195RR)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),6,15,1,87,NEUI,6,30,6_15,15
((LH195RR)/(Tx777/Tx775)-B5-12-2-1-B23),6,17,1,88,NEUI,7,65,6_17,17
((GP724GTCBLL)/(Tx777/Tx775)-B5-15-1-1-1-B9),6,19,1,89,NEUI,6,40,6_19,19
(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP724GTCBLL),6,21,1,90,NEUI,8,70,6_21,21
(((Tx777/Tx775)-B5-12-2-1-B23)/GP724GTCBLL),6,23,1,91,NEUI,9,70,6_23,23
((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),6,25,1,92,NEUI,5.5,40,6_25,25
((GP739GTCBLLBL)/(Tx779/Tx780)-B6-04-1-1-B22),6,27,1,93,NEUI,7,45,6_27,27
((LH195RR)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),6,29,1,94,NEUI,8,60,6_29,29
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-25-1-2-1-B10),6,31,1,95,NEUI,10,70,6_31,31
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-06-1-1-B6),6,33,1,96,NEUI,15,75,6_33,33
((GP722)/(Tx777/Tx775)-B5-12-2-1-1-B17),6,35,1,97,NEUI,13,94,6_35,35
((GP737)/(Tx779/Tx780)-B6-04-1-1-B22),6,37,1,98,NEUI,6,30,6_37,37
((GP737)/(Tx777/Tx775)-B5-39-1-2-1-B6),6,39,1,99,NEUI,9,40,6_39,39
((Tx779)/(Tx777/Tx775)-B5-39-1-2-1-B6),6,41,2,100,NEUI,4,12,6_41,41
((GP737)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),7,42,2,101,NEUI,6,40,7_41,41
((Tx779)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),7,40,2,102,NEUI,8,40,7_39,39
((LH195RR)/(Tx777/Tx775)-B5-12-2-2-1-B14),7,38,2,103,NEUI,8,20,7_37,37
((GP737)/(Tx779/Tx780)-B6-04-2-2-B6),7,36,2,104,NEUI,3,10,7_35,35
((Tx779)/(Tx777/Tx775)-B5-12-2-2-B18),7,34,2,105,NEUI,7,60,7_33,33
((GP722)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),7,32,2,106,NEUI,10,70,7_31,31
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-B18),7,30,2,107,NEUI,8,65,7_29,29
((GP737)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),7,28,2,108,NEUI,5,60,7_27,27
((GP739GTCBLLBL)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),7,26,2,109,NEUI,8,85,7_25,25
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-1-B23),7,24,2,110,NEUI,10,80,7_23,23
(((Tx777/Tx775)-B5-12-2-2-B18)/LH195RR),7,22,2,111,NEUI,12,90,7_21,21
((GP724GTCBLL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),7,20,2,112,NEUI,8,40,7_19,19
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-19-4-1-B15),7,18,2,113,NEUI,6,50,7_17,17
((GP724GTCBLL)/(Tx777/Tx775)-B5-15-1-1-B28),7,16,2,114,NEUI,8,60,7_15,15
((GP722)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),7,14,2,115,NEUI,16,99,7_13,13
((GP737)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),7,12,2,116,NEUI,8,60,7_11,11
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-15-1-1-B28),7,10,2,117,NEUI,7,55,7_9,9
((GP737)/(Tx779/Tx780)-B6-04-1-1-B22),7,8,2,118,NEUI,7,25,7_7,7
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-39-1-2-1-B6),7,6,2,119,NEUI,7,35,7_5,5
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-B28),7,4,2,120,NEUI,7.5,35,7_3,3
BH900VIP3111 (2021),8,3,2,121,NEUI,8,90,8_3,3
((LH195RR)/((CML285/NC300)-B-6-B-B-B-B-B-B-B/(CML 323/NC300)-B-1-1-B-B-B-B-B)-2-2-B-1-1-B20-1-B21-B13),8,5,2,122,NEUI,6,35,8_5,5
((GP739GTCBLLBL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),8,7,2,123,NEUI,6,50,8_7,7
((GP724GTCBLL)/(Tx778/Tx151)-B5-04-1-3-1-B14),8,9,2,124,NEUI,10,80,8_9,9
((LH195RR)/(Tx777/Tx775)-B5-15-1-1-1-B9),8,11,2,125,NEUI,7,45,8_11,11
((GP724GTCBLL)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),8,13,2,126,NEUI,6,45,8_13,13
DKC67-44 (2021),8,15,2,127,NEUI,10,88,8_15,15
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-1-1-B22),8,17,2,128,NEUI,6,85,8_17,17
((GP724GTCBLL)/(Tx778/Tx151)-B5-06-1-1-B6),8,19,2,129,NEUI,6,50,8_19,19
((WF18 Red Stalker inbred)/Tx779),8,21,2,130,NEUI,4,40,8_21,21
((GP724GTCBLL)/(Tx777/Tx775)-B5-15-1-1-1-B9),8,23,2,131,NEUI,4,40,8_23,23
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-2-2-B6),8,25,2,132,NEUI,4,35,8_25,25
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-B14),8,27,2,133,NEUI,7,65,8_27,27
((GP739GTCBLLBL)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),8,29,2,134,NEUI,8,70,8_29,29
((Tx777-B50)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),8,31,2,135,NEUI,8.5,70,8_31,31
((LH195RR)/(Tx778/Tx151)-B5-06-1-1-B8),8,33,2,136,NEUI,9,75,8_33,33
((LH195RR)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),8,35,2,137,NEUI,8,65,8_35,35
((LH195RR)/(Tx777/Tx775)-B5-39-1-2-1-B6),8,37,2,138,NEUI,7,55,8_37,37
((GP739GTCBLLBL)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),8,39,2,139,NEUI,9,80,8_39,39
(((Tx777/Tx775)-B5-12-2-2-1-B14)/GP724GTCBLL),8,41,2,140,NEUI,9.5,60,8_41,41
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-12-2-2-1-B14),9,42,2,141,NEUI,8,85,9_41,41
(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP724GTCBLL),9,40,2,142,NEUI,8,65,9_39,39
((GP737)/((CML269/Tx110)/(CML 311/Tx110)-1-B-B-B-B/DTPWC8F31-1-1-2-2-BBBB-B)-B-B-3-1-B-1-B8-1-B18),9,38,2,143,NEUI,15,98,9_37,37
((GP739GTCBLLBL)/(Tx777/Tx775)-B5-39-1-2-B14),9,36,2,144,NEUI,5,55,9_35,35
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-06-1-1-B6),9,34,2,145,NEUI,13,85,9_33,33
((GP739GTCBLLBL)/(Tx779/Tx780)-B6-04-2-2-B6),9,32,2,146,NEUI,6,40,9_31,31
((LH195RR)/(Tx779/Tx780)-B6-04-2-2-B6),9,30,2,147,NEUI,7,40,9_29,29
((GP474GT-B12-B15-B23)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),9,28,2,148,NEUI,9,65,9_27,27
((GP737)/(Tx777/Tx775)-B5-12-2-1-1-B17),9,26,2,149,NEUI,7,60,9_25,25
((GP722)/(Tx777/Tx775)-B5-12-2-2-1-B14),9,24,2,150,NEUI,8,85,9_23,23
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-12-2-1-B23),9,22,2,151,NEUI,9,60,9_21,21
((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-8-2-1-2-2),9,20,2,152,NEUI,6,50,9_19,19
((GP737)/(Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13),9,18,2,153,NEUI,5,50,9_17,17
((GP724GTCBLL)/(Tx777/Tx775)-B5-39-1-2-1-B6),9,16,2,154,NEUI,6,35,9_15,15
((GP737)/(Tx778/Tx151)-B5-06-1-1-B8),9,14,2,155,NEUI,5,50,9_13,13
((GP739GTCBLLBL)/(Tx778/Tx151)-B5-25-1-2-1-B10),9,12,2,156,NEUI,10,60,9_11,11
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/LH82)-3-2-1),9,10,2,157,NEUI,8,70,9_9,9
((GP722)/(Tx777/Tx775)-B5-12-2-2-B18),9,8,2,158,NEUI,10,88,9_7,7
((LH195RR)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),9,6,2,159,NEUI,4.5,35,9_5,5
((GP724GTCBLL)/(Tx779/Tx780)-B6-04-1-1-B22),9,4,2,160,NEUI,6,40,9_3,3
((GP739GTCBLLBL)/((CML285/NC300)-B-6-B-B-B-B-B-B-B/(CML 323/NC300)-B-1-1-B-B-B-B-B)-2-2-B-1-1-B20-1-B21-B13),10,3,2,161,NEUI,7,50,10_3,3
((LH195RR)/(Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18),10,5,2,162,NEUI,10,70,10_5,5
((GP724GTCBLL)/(Tx777/Tx775)-B5-12-2-2-B18),10,7,2,163,NEUI,8,50,10_7,7
((GP722)/(Tx779/Tx780)-B6-04-2-2-B6),10,9,2,164,NEUI,8,50,10_9,9
((GP474GT-B12-B15-B23)/(Tx778/Tx151)-B5-06-1-1-B6),10,11,2,165,NEUI,8,60,10_11,11
DKC69-99 (2021),10,13,2,166,NEUI,15,98,10_13,13
((LH195RR)/(Tx777/Tx775)-B5-30-1-1-1-B6),10,15,2,167,NEUI,7.5,85,10_15,15
((GP722)/(Tx777/Tx775)-B5-15-1-1-1-B9),10,17,2,168,NEUI,7,70,10_17,17
(((Tx777/Tx775)-B5-12-2-1-1-B17)/GP474GT-B12-B15-B23),10,19,2,169,NEUI,9.5,60,10_19,19
((LH195RR)/(Tx778/Tx151)-B5-06-1-1-B6),10,21,2,170,NEUI,8.5,75,10_21,21
((LH195RR)/(Tx779/Tx780)-B6-04-1-1-B22),10,23,2,171,NEUI,5,60,10_23,23
((GP722)/(Tx777/Tx775)-B5-15-1-1-B28),10,25,2,172,NEUI,8,90,10_25,25
((GP739GTCBLLBL)/((CML288/NC300)-B-9-B1-B-B-B-B-B-B-B-B-1-B8-B7-B17/LH82)-1-2-1),10,27,2,173,NEUI,10,88,10_27,27
LG64C30 (2021),10,29,2,174,NEUI,14,96,10_29,29
((GP474GT-B12-B15-B23)/(Tx779/Tx780)-B6-04-2-2-B6),10,31,2,175,NEUI,5,25,10_31,31
((GP474GT-B12-B15-B23)/(Tx777/Tx775)-B5-37-2-1-1-B12),10,33,2,176,NEUI,7,50,10_33,33
(((Tzi 18/CML 69)/(Tzi 8/Mp313E -B)/(CML 108/A6)/(CML 311/Mp715)-29-2-1-B13)/LH195RR),10,35,2,177,NEUI,9,80,10_35,35
((LH195RR)/(Tx778/Tx151)-B5-04-1-3-1-B14),10,37,2,178,NEUI,12.5,93,10_37,37
((Tx779)/(Tx777/Tx775)-B5-15-1-1-B28),10,39,2,179,NEUI,10,90,10_39,39
((LH195RR)/(Tx778/Tx151)-B5-25-1-2-1-B10),10,41,2,180,NEUI,8,70,10_41,41
((GP474GT-B12-B15-B23)/(CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7),11,42,2,181,NEUI,6,55,11_41,41
((Tx779)/(Tx777/Tx775)-B5-12-2-2-1-B14),11,40,2,182,NEUI,7,70,11_39,39
